"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
clien_outcome_dis,discharge_report_2019,,dropdown,"4a)  Do you think you take your medications accurately?","1, Definitely Yes | 2, Not Sure | 3, Probably not | 4, Given by caregiver",,,,,,"[client_status_2] = '1'",,,,,,
client_out2_dis,discharge_report_2019,,dropdown,"4b) How would you describe your ability to get around and do things safely in your home?","1, Very Good | 2, Okay | 3, Not Good",,,,,,"[client_status_2] = '1'",,,,,,
client_outc3_dis,discharge_report_2019,,dropdown,"4c) How often are you anxious or fearful about your health and well-being?","1, Often | 2, Sometimes | 3, Not often",,,,,,"[client_status_2] = '1'",,,,,,
clie_outc4_dis,discharge_report_2019,,dropdown,"4d) Are your daily needs being met?","1, Yes, on my own | 2, Yes, with some help from others | 3, No, not really",,,,,,"[client_status_2] = '1'",,,,,,
most_impo_client,discharge_report_2019,,notes,"4e) What problem or goal is most important to you in your life right now?",,,,,,,"[client_status_2] = '1'",,,,,,
cg_status_2,discharge_report_2019,"CAREGIVER REPORT",dropdown,"5- Is there a caregiver for this client?","1, Yes | 2, No",,,,,,,y,,,,,
cg_out1_dis,discharge_report_2019,,dropdown,"5a) Over the last few months has  ______'s ability to function in daily life improved?","1, Yes | 2, No, but decline being managed | 3, No, declined (lost ground)",,,,,,"[cg_status_2] = '1'",,,,,,
cg_out2_dis,discharge_report_2019,,dropdown,"5b) Do you think ______ is safe and her/his basic needs are met with current supports in place?","1, Yes | 2, As much as possible | 3, No",,,,,,"[cg_status_2] = '1'",,,,,,
cg_out3_dis,discharge_report_2019,,dropdown,"5c) Are you feeling confident in caring for ________?","1, Definitely yes | 2, Somewhat | 3, No, not really",,,,,,"[cg_status_2] = '1'",,,,,,
cg_outc4_dis,discharge_report_2019,,dropdown,"5d) Do your caregiving responsibilities cause you to feel fatigued, depressed, or burdened?","1, Yes | 2, Sometimes | 3, No",,,,,,"[cg_status_2] = '1'",,,,,,
cg_con_most,discharge_report_2019,,notes,"5e) As a caregiver, what problems/issues (matter) concern you the most?",,,,,,,"[cg_status_2] = '1'",,,,,,
status_profile,profile_2019,,radio,Status,"1, Active | 2, Inactive | 3, Discharged",,,,,,,y,,,,,
old_records_lyme,profile_2019,,file,"Old Records",,,,,,,,,,,,,
today,profile_2019,,text,"REQUIRED FIELD- ADMISSION DATE",,required,date_ymd,,,,,y,,,,,
consent_date,profile_2019,,text,"4a) Date client signed consent",,,date_ymd,,,,,,,,,,
upload_form,profile_2019,,file,"4b) Upload the client consent form",,,,,,,,,,,,,
meth_1st_contact,profile_2019,,radio,"8) Method or location of first contact","1, Home visit | 2, Phone | 3, email | 4, Family meeting | 5, Office hours | 6, Meeting at hospital | 7, Meeting at ALF/ Nursing home/ Rehab | 8, Meeting at family PCP office | 9, About town | 10, Other (Please describe in text box, below)",,,,,,,y,,,,,
notes,profile_2019,,notes,Notes,,,,,,,,,,,,,
referred_by,profile_2019,,checkbox,"9) Referred by whom? Check all that apply.
","1, Self | 2, Family | 3, Neighbor/Friend | 4, Primary Care Provider | 5, Community Agency | 6, Clergy | 7, Hospital/ SNF discharge coordinator | 8, FAST Squad OR Ambulance Service | 9, Other (Please describe in text box, below)",,,,,,,y,,,,,
notes_1,profile_2019,,notes,Notes,,,,,,,,,,,,,
informant,profile_2019,,radio,"10) Informants","1, Main client | 2, Client & family member | 3, Family member | 4, Other (Please describe in text box, below)",,,,,,,y,,,,,
notes_50,profile_2019,,notes,Notes,,,,,,,,,,,,,
end_life_plan,profile_2019,,checkbox,"11) End of Life Planning","1, Has COLST/POLST document | 2, Has Living Will/DPOAH document | 3, In process | 4, Doesn't know about them | 5, No interest | 6, Other (Please specify in the comment bubble)",,,,,,,y,,,,,
notes_2,profile_2019,,notes,Notes,,,,,,,,,,,,,
acp_location,profile_2019,,text,"12) Location of the Document(s) identified above:",,,,,,,"[end_life_plan(1)] = '1' or [end_life_plan(2)] = '1' or [end_life_plan(3)] = '1'",,,,,,
client_answer,profile_2019,"CLIENT REPORT: Please ask these questions as written",yesno,"13) Is the client able to answer the following questions (13a-e)?",,,,,,,,,,,,,
meds_client_before,profile_2019,,radio,"13a) Do you think you take your medications accurately?","1, Definitely Yes | 2, Not Sure | 3, Probably not | 4, Given by caregiver",,,,,,"[client_answer] = '1'",,,,,,
cliebnt_home_before,profile_2019,,radio,"13b) How would you describe your ability to get around and do things safely in your home?","1, Very Good | 2, Okay | 3, Not Good",,,,,,"[client_answer] = '1'",,,,,,
client_anx_before,profile_2019,,radio,"13c) How often are you anxious or fearful about your health and well-being?","1, Often | 2, Sometimes | 3, Not often",,,,,,"[client_answer] = '1'",,,,,,
clients_daily_before,profile_2019,,radio,"13d) Are your daily needs being met?","1, Yes, on my own | 2, Yes, with some help from others | 3, No, not really",,,,,,"[client_answer] = '1'",,,,,,
what_matters_patient,profile_2019,,notes,"13e) What matters most to you in your life right now?",,,,,,,"[client_answer] = '1'",,,,,,
care_giver,profile_2019,"CAREGIVER REPORT: Please ask these questions as written",yesno,"14) Does this client have caregiver(s)?",,,,,,,,,,,,,
who_cg,profile_2019,,notes,"14a) Who is the caregiver(s)?",,,,,,,"[care_giver] = '1'",,,,,,
cg_func_before,profile_2019,,radio,"14b) Over the last few months has  ______'s ability to function in daily life improved?","1, Yes | 2, No, but decline being managed | 3, No, declined (lost ground)",,,,,,"[care_giver] = '1'",,,,,,
cg_basicneeds_before,profile_2019,,radio,"14c) Do you think ______ is safe and her/his basic needs are met with current supports in place?","1, Yes | 2, As much as possible | 3, No",,,,,,"[care_giver] = '1'",,,,,,
cg_conf_before,profile_2019,,radio,"14d) Are you feeling confident in caring for ________?","1, Definitely yes | 2, Somewhat | 3, No, not really",,,,,,"[care_giver] = '1'",,,,,,
cg_fatig_before,profile_2019,,radio,"14e) Do your caregiving responsibilities cause you to feel fatigued, depressed, or burdened?","1, Yes | 2, Sometimes | 3, No",,,,,,"[care_giver] = '1'",,,,,,
cg_what_matters,profile_2019,,notes,"14f) As a caregiver, what matters most to you?",,,,,,,"[care_giver] = '1'",,,,,,
date_contact,contact_information_2019,,text,"REQUIRED FIELD- PLEASE ENTER DATE",,,date_ymd,,,,,y,,,,,
